maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
2	gc	c	NA	13/12/2019	8:00	18.379	18.379	0.5
2	gc	c	i	14/12/2019	NA	18.418	18.418	0.5
2	gc	c	i	15/12/2019	NA	18.457	18.457	0.5
2	gc	c	NA	16/12/2019	8:20	18.495	18.495	0.5
2	gc	c	i	17/12/2019	8:00	18.408	18.408	0.5
2	gc	c	NA	18/12/2019	8:00	18.32	19.033	0.5
2	gc	c	NA	19/12/2019	8:00	19.121	19.121	0.5
2	gc	c	i	20/12/2019	8:00	18.937	18.937	0.5
2	gc	c	i	21/12/2019	NA	18.753	18.753	0.5
2	gc	c	i	22/12/2019	8:00	18.569	18.569	0.5
2	gc	c	NA	23/12/2019	7:00	18.383	18.383	0.5
2	gc	c	NA	24/12/2019	9:00	18.598	19.026	0
2	gc	c	i	25/12/2019	NA	18.465	18.465	0.5
2	gc	c	NA	26/12/2019	9:00	18.404	19.031	0
2	gc	c	i	27/12/2019	NA	18.597	18.597	0.5
2	gc	c	NA	28/12/2019	9:00	18.663	19.031	0
2	gc	c	i	29/12/2019	NA	18.465	18.465	0.5
2	gc	c	NA	30/12/2019	10:00	18.4	19.029	0
2	gc	c	NA	31/12/2019	9:00	18.98	18.98	0
2	gc	c	i	1/1/2020	NA	18.51	18.51	0.5
2	gc	c	NA	2/1/2020	8:00	18.542	18.542	0.5
2	gc	c	i	3/1/2020	NA	18.449	18.449	0.5
2	gc	c	NA	4/1/2020	9:00	18.357	19.033	0
2	gc	c	i	5/1/2020	NA	18.261	18.261	0.5
2	gc	c	NA	6/1/2020	7:00	17.99	18.535	0.5
2	gc	c	i	7/1/2020	NA	18.184	18.184	0.5
2	gc	c	NA	8/1/2020	8:15	17.834	18.541	0.5
2	gc	c	i	9/1/2020	NA	18.280	18.280	0.5
2	gc	c	NA	10/1/2020	8:00	18.02	18.535	0.5
2	gc	c	i	11/1/2020	NA	18.438	18.438	0.5
2	gc	c	NA	12/1/2020	9:00	18.341	18.527	0
2	gc	c	i	13/1/2020	NA	18.06	18.06	0.5
2	gc	c	NA	14/1/2020	10:00	18.093	19.05	0
2	gc	c	i	15/1/2020	NA	18.631	18.631	0.5
2	gc	c	NA	16/1/2020	8:20	18.713	18.713	0.5
2	gc	c	i	17/1/2020	NA	18.304	18.304	0.5
2	gc	c	NA	18/1/2020	7:20	17.895	18.533	0.5
2	gc	c	i	19/1/2020	NA	18.307	18.307	0.5
2	gc	c	NA	20/1/2020	7:45	18.082	18.555	0.5
2	gc	c	i	21/1/2020	NA	18.257	18.257	0.5
2	gc	c	NA	22/1/2020	8:00	17.96	18.535	0.5
2	gc	c	i	23/1/2020	NA	18.219	18.219	0.5
2	gc	c	NA	24/1/2020	7:40	17.903	18.534	0.5
2	gc	c	i	25/1/2020	NA	18.175	18.175	0.5
2	gc	c	NA	26/1/2020	8:00	17.816	18.536	0.5
2	gc	c	i	27/1/2020	NA	18.185	18.185	0.5
2	gc	c	NA	28/1/2020	8:00	17.835	18.538	0.5
2	gc	c	i	29/1/2020	NA	18.356	18.356	0.5
2	gc	c	NA	30/1/2020	8:00	18.174	18.535	0.5
2	gc	c	i	31/1/2020	NA	18.257	18.257	0.5
2	gc	c	NA	1/2/2020	7:30	17.979	18.537	0.5
2	gc	c	i	2/2/2020	NA	18.381	18.381	0.5
2	gc	c	NA	3/2/2020	8:00	18.226	18.529	0.5
2	gc	c	i	4/2/2020	NA	18.211	18.211	0.5
2	gc	c	NA	5/2/2020	8:00	17.893	18.54	0.5
2	gc	c	i	6/2/2020	NA	18.176	18.176	0.5
2	gc	c	NA	7/2/2020	NA	17.845	18.533	0.5
